description,link,price,location,bedrooms,bathrooms,area
Luxury Apartment for Sale in Madinaty Privado – 178 sqm with Direct Lake View Private Garage,https://www.dubizzle.com.eg/en/ad/luxury-apartment-for-sale-in-madinaty-privado-178-sqm-with-direct-lake-view-private-garage-ID502639213.html,"EGP 13,600,000","Privado, Madinaty•",3,3,178 SQM
Apartment for Sale in Mountain View iCity - New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-mountain-view-icity-new-cairo-ID502645215.html,"EGP 7,500,000","Mountain View iCity Compound, 5th Settlement•",3,3,160 SQM
Uptown Cairo | Amazing Apartment with Garden and Golf View For Sale,https://www.dubizzle.com.eg/en/ad/uptown-cairo-amazing-apartment-with-garden-and-golf-view-for-sale-ID502644768.html,"EGP 23,000,000","Uptown Cairo, Mokattam•",3,3,214 SQM
Ready to move Apartment 3 bedrooms and nanni room prime location and view on landscape for sale in Bloom fields,https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-3-bedrooms-and-nanni-room-prime-location-and-view-on-landscape-for-sale-in-bloom-fields-ID502614299.html,"EGP 7,152,000","Bloomfields, Mostakbal City•",3,3,240 SQM
Ground apartment at Zed EAST | Under Market Price | Phase 1 | Prime Location,https://www.dubizzle.com.eg/en/ad/ground-apartment-at-zed-east-under-market-price-phase-1-prime-location-ID502625301.html,"EGP 9,800,000","Zed East Compound, 6th Settlement•",3,3,139 SQM
"Stone Residence Compound New Cairo at the entrance of the Fifth Settlement, which enjoys a direct view of the ring road, and is located 5 minutes from Teseen Street, and is only a few minutes away from the Suez Road and Maadi City.",https://www.dubizzle.com.eg/en/ad/stone-residence-compound-new-cairo-at-the-entrance-of-the-fifth-settlement-which-enjoys-a-direct-view-of-the-ring-road-and-is-located-5-minutes-from-teseen-street-and-is-only-a-few-minutes-away-from-the-suez-road-and-maadi-city-ID502618808.html,"EGP 5,500,000","Stone Residence Compound, Katameya•",3,3,175 SQM
"A super-luxury finished apartment in a prime location in Ard El Golf, Heliopolis.",https://www.dubizzle.com.eg/en/ad/a-super-luxury-finished-apartment-in-a-prime-location-in-ard-el-golf-heliopolis-ID502626409.html,"EGP 9,000,000","Heliopolis, Cairo•",3,2,240 SQM
Apartment for sale fully finished with Acs Ready to move in Fifth Square,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-fully-finished-with-acs-ready-to-move-in-fifth-square-ID502647521.html,"EGP 7,800,000","Fifth Square Compound, 5th Settlement•",3,3,160 SQM
Fully Finished Furnished Studio 1 Master 1 Bedroom 1 Bathroom  Reception  in Hydepark New Cairo .,https://www.dubizzle.com.eg/en/ad/fully-finished-furnished-studio-1-master-1-bedroom-1-bathroom-reception-in-hydepark-new-cairo-ID501179151.html,"EGP 6,000,000","Hyde Park New Cairo Compound, 5th Settlement•",1,1,89 SQM
3-Bedroom Apartment in Maadi View Compound with Open North-Facing View | 729K Down Payment & 7-Year Installments.,https://www.dubizzle.com.eg/en/ad/3-bedroom-apartment-in-maadi-view-compound-with-open-north-facing-view-729k-down-payment-7-year-installments-ID502634424.html,"EGP 7,290,000","Maadi View, Shorouk City•",3,2,149 SQM
Apartment With garden For Sale Fully Finished READY TO MOVE  in Compound The Address East near the American University AUC| Fifth Settlement New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-with-garden-for-sale-fully-finished-ready-to-move-in-compound-the-address-east-near-the-american-university-auc-fifth-settlement-new-cairo-ID502470654.html,"EGP 9,000,000","The Address East Compound, 5th Settlement•",3,2,140 SQM
3-Bedroom Apartment | 10% Down Payment | Up to 8 Years Installments | Maadi – Overlooking Al Shorouk,https://www.dubizzle.com.eg/en/ad/3-bedroom-apartment-10-down-payment-up-to-8-years-installments-maadi-overlooking-al-shorouk-ID502640062.html,"EGP 5,800,000","Maadi View, Shorouk City•",3,2,133 SQM
Third Floor Apartment | 160m² + Sky Terrace | Sky Condos Villette,https://www.dubizzle.com.eg/en/ad/third-floor-apartment-160m2-sky-terrace-sky-condos-villette-ID502647075.html,"EGP 10,500,000","Villette Compound, 5th Settlement•",2,3,160 SQM
Apartment Fully furnished for sale 160 m 3 bedrooms very prime location open view in Villette Sky Condos SODIC Fifth Settlement New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-fully-furnished-for-sale-160-m-3-bedrooms-very-prime-location-open-view-in-villette-sky-condos-sodic-fifth-settlement-new-cairo-ID502584456.html,"EGP 13,750,000","Sky Condos Sodic Compound, 5th Settlement•",3,3,160 SQM
Duplex for sale in Taj City Compound with a 50% discount,https://www.dubizzle.com.eg/en/ad/duplex-for-sale-in-taj-city-compound-with-a-50-discount-ID502614615.html,"EGP 7,225,000","Taj City Compound, 1st Settlement•",3,2,162 SQM
"180m apartment for sale in Al-Rehab on the first floor with elevator on a main street, northern view",https://www.dubizzle.com.eg/en/ad/180m-apartment-for-sale-in-al-rehab-on-the-first-floor-with-elevator-on-a-main-street-northern-view-ID502625699.html,"EGP 9,500,000","Rehab City Compound, New Cairo•",3,3,180 SQM
iVilla Roof For Sale at Mountain View Hyde Park | Ready To Move - Fully finished,https://www.dubizzle.com.eg/en/ad/ivilla-roof-for-sale-at-mountain-view-hyde-park-ready-to-move-fully-finished-ID501246029.html,"EGP 18,000,000","Mountain View Hyde Park Compound, 5th Settlement•",3,3,300 SQM
"145m apartment for sale, fully finished, in the Administrative Capital, with a down payment of 581,000",https://www.dubizzle.com.eg/en/ad/145m-apartment-for-sale-fully-finished-in-the-administrative-capital-with-a-down-payment-of-581000-ID502641197.html,"EGP 5,810,000","De Joya 4, R8•",3,2,145 SQM
"Don’t miss this investment opportunity – Apartment for sale in Jiwar New Cairo, soon to be one of Egypt’s top areas",https://www.dubizzle.com.eg/en/ad/dont-miss-this-investment-opportunity-apartment-for-sale-in-jiwar-new-cairo-soon-to-be-one-of-egypts-top-areas-ID502593354.html,"EGP 4,130,000","Jewar Compound, 6th Settlement•",2,2,101 SQM
Fully Finished Apartment 2 Bed Ready to move In Stoda Compound Sheraton Beside Airport and Wadi Degla Club,https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-2-bed-ready-to-move-in-stoda-compound-sheraton-beside-airport-and-wadi-degla-club-ID502325392.html,"EGP 6,930,000","Stoda Residence, Sheraton•",2,2,138 SQM
"Distinctive apartment for sale, second floor from the Russian University, at a bargain price.",https://www.dubizzle.com.eg/en/ad/distinctive-apartment-for-sale-second-floor-from-the-russian-university-at-a-bargain-price-ID502615567.html,"EGP 1,350,000","Badr City, Cairo•",3,1,125 SQM
apartment resale in celia prime location ready to move under market price,https://www.dubizzle.com.eg/en/ad/apartment-resale-in-celia-prime-location-ready-to-move-under-market-price-ID502271991.html,"EGP 6,000,000","Celia, New Capital City•",3,3,160 SQM
77 sqm Ground Floor Apartment with 35 sqm Garden for Sale in Madinaty B6 – Ultra Super Lux FinishingA prime opportunity to own a ground floor apartmen,https://www.dubizzle.com.eg/en/ad/77-sqm-ground-floor-apartment-with-35-sqm-garden-for-sale-in-madinaty-b6-ultra-super-lux-finishinga-prime-opportunity-to-own-a-ground-floor-apartmen-ID502639020.html,"EGP 4,600,000","Madinaty, Cairo•",2,1,80 SQM
Ready-to-Move Apartment for Sale in Creek Town – New Cairo – Installments Over 10 Years – Near El Rehab,https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-for-sale-in-creek-town-new-cairo-installments-over-10-years-near-el-rehab-ID502611835.html,"EGP 9,360,000","Creek Town Compound, 5th Settlement•",2,2,128 SQM
eady-to-Move 400 sqm Duplex in El Andalous – Fully Settled with Meters Installed – Exceptional Location Near Mohamed Naguib Axis,https://www.dubizzle.com.eg/en/ad/eady-to-move-400-sqm-duplex-in-el-andalous-fully-settled-with-meters-installed-exceptional-location-near-mohamed-naguib-axis-ID501820144.html,"EGP 5,400,000","Al Andalous, 5th Settlement•",4,3,400 SQM
Exclusive!! Luxury Apartment Ready to View in Cairo Festival City - New Cairo,https://www.dubizzle.com.eg/en/ad/exclusive-luxury-apartment-ready-to-view-in-cairo-festival-city-new-cairo-ID502615381.html,"EGP 28,700,000","Cairo Festival City, 5th Settlement•",4,3,215 SQM
Apartment Fully finished with ACs in Eastown Sodic,https://www.dubizzle.com.eg/en/ad/apartment-fully-finished-with-acs-in-eastown-sodic-ID502040079.html,"EGP 17,800,000","Eastown Compound, 5th Settlement•",3,3,205 SQM
Apartment Corner  with good privacy Fully finished,https://www.dubizzle.com.eg/en/ad/apartment-corner-with-good-privacy-fully-finished-ID502273567.html,"EGP 6,500,000","El Banafseg 1, 1st Settlement•",3,2,152 SQM
Ready To Move Ground Apartment in Mv icity,https://www.dubizzle.com.eg/en/ad/ready-to-move-ground-apartment-in-mv-icity-ID502232784.html,"EGP 6,200,000","Mountain View iCity Compound, 5th Settlement•",3,3,160 SQM
Apartment for Sale with Sky Terrace | 189m² + 25m² | Sky Condos Villette,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-with-sky-terrace-189m2-25m2-sky-condos-villette-ID502498133.html,"EGP 13,000,000","Villette Compound, 5th Settlement•",3,3,189 SQM
Ready to move with under market price apartment 240 m for sale  view landscape prime location in Bloomfields,https://www.dubizzle.com.eg/en/ad/ready-to-move-with-under-market-price-apartment-240-m-for-sale-view-landscape-prime-location-in-bloomfields-ID502617076.html,"EGP 6,652,000","Bloomfields, Mostakbal City•",3,3,240 SQM
"A prime apartment in Sheraton, next to Florida Mall, Heliopolis.",https://www.dubizzle.com.eg/en/ad/a-prime-apartment-in-sheraton-next-to-florida-mall-heliopolis-ID502591779.html,"EGP 5,000,000","Heliopolis, Cairo•",3,2,173 SQM
"Opportunity to sell an apartment of 324m in Madinaty B3 with the largest area, special finishing, 3 master bedrooms + a maid's room, living room, and laundry, facing a wide garden to the northeast in Madinaty.",https://www.dubizzle.com.eg/en/ad/opportunity-to-sell-an-apartment-of-324m-in-madinaty-b3-with-the-largest-area-special-finishing-3-master-bedrooms-a-maids-room-living-room-and-laundry-facing-a-wide-garden-to-the-northeast-in-madinaty-ID502644239.html,"EGP 16,000,000","Madinaty, Cairo•",3,2,324 SQM
"Apartment for sale in distinguished area 13, Badr City",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-distinguished-area-13-badr-city-ID502494255.html,"EGP 1,450,000","Badr City, Cairo•",3,2,150 SQM
"Apartment for sale ""Location and price are exceptional"" in Al-Shorouk city 2",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-location-and-price-are-exceptional-in-al-shorouk-city-2-ID502479715.html,"EGP 2,950,000","Shorouk City, Cairo•",3,2,160 SQM
"Apartment for sale, 200 m, in installments at cash price, in Sheraton Heliopolis, in front of the airport",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-200-m-in-installments-at-cash-price-in-sheraton-heliopolis-in-front-of-the-airport-ID502644273.html,"EGP 8,600,000","Isola, Sheraton•",4,4,200 SQM
"For Sale: A Stunning Apartment in the Heart of Nasr City – Off Hosny Helal Street and Makram Ebeid, Golden Square , 6th District",https://www.dubizzle.com.eg/en/ad/for-sale-a-stunning-apartment-in-the-heart-of-nasr-city-off-hosny-helal-street-and-makram-ebeid-golden-square-6th-district-ID501245908.html,"EGP 7,400,000","Nasr City, Cairo•",3,2,200 SQM
Apartment for Sale – Direct View on Al Hegaz Main Street – With a Large Balcony Overlooking Al Nasr Club – Heliopolis     For viewings & more detail,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-direct-view-on-al-hegaz-main-street-with-a-large-balcony-overlooking-al-nasr-club-heliopolis-for-viewings-more-detail-ID502507931.html,"EGP 7,200,000","Heliopolis, Cairo•",4,2,156 SQM
Amazing 257 sqm Apartment in Palm Hills Village Avenue ( New Cairo )! Next to O1 Mall and Cloud 9,https://www.dubizzle.com.eg/en/ad/amazing-257-sqm-apartment-in-palm-hills-village-avenue-new-cairo-next-to-o1-mall-and-cloud-9-ID502601636.html,"EGP 15,500,000","Village Avenue Compound, 1st Settlement•",3,3,258 SQM
Apartment for Sale – Madinaty – 96 sqm – Garden View – Special Finishing,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-madinaty-96-sqm-garden-view-special-finishing-ID502642126.html,"EGP 5,000,000","Madinaty, Cairo•",2,2,96 SQM
"With a down payment of 290 thousand, own a fully finished studio in the Fifth Settlement",https://www.dubizzle.com.eg/en/ad/with-a-down-payment-of-290-thousand-own-a-fully-finished-studio-in-the-fifth-settlement-ID502613911.html,"EGP 5,800,000","Garnet Compound, 5th Settlement•",1,1,59 SQM
Do New Cairo Project by Amr Diab | Do Boutique Hotels Fifth Settlement,https://www.dubizzle.com.eg/en/ad/do-new-cairo-project-by-amr-diab-do-boutique-hotels-fifth-settlement-ID502608172.html,"EGP 5,000,000","5th Settlement, New Cairo•",1,1,50 SQM
apartment ready to deliver prime location in capital gardens palm hills mostakbal city new capital,https://www.dubizzle.com.eg/en/ad/apartment-ready-to-deliver-prime-location-in-capital-gardens-palm-hills-mostakbal-city-new-capital-ID502542012.html,"EGP 5,800,000","Capital Gardens, New Capital City•",3,4,190 SQM
Apartment of 116m next to services directly at a reasonable price,https://www.dubizzle.com.eg/en/ad/apartment-of-116m-next-to-services-directly-at-a-reasonable-price-ID502630789.html,"EGP 5,750,000","Madinaty, Cairo•",3,2,116 SQM
شقه للبيع في البارون ستي من المالك مباشرة,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D9%88%D9%86-%D8%B3%D8%AA%D9%8A-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%83-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9-ID206017422.html,"EGP 5,500,000","Baron City, Maadi•",3,3,200 SQM
"In New City, Nasr City TMG 3-bedroom apartment with a low down payment and installment options until 2037 at B1 corner overlooking the street next to the services NOOR",https://www.dubizzle.com.eg/en/ad/in-new-city-nasr-city-tmg-3-bedroom-apartment-with-a-low-down-payment-and-installment-options-until-2037-at-b1-corner-overlooking-the-street-next-to-the-services-noor-ID502645271.html,"EGP 5,442,960","Noor City, New Capital City•",3,2,119 SQM
Ground Apartment Flexi Finishing Delivered 2 Bedrooms  2 Bathrooms in Sarai el mostakbal City,https://www.dubizzle.com.eg/en/ad/ground-apartment-flexi-finishing-delivered-2-bedrooms-2-bathrooms-in-sarai-el-mostakbal-city-ID502297961.html,"EGP 7,000,000","Sarai, Mostakbal City•",2,2,146 SQM
Resale Ground Apartment in Sodic East Ready to move + fully finished,https://www.dubizzle.com.eg/en/ad/resale-ground-apartment-in-sodic-east-ready-to-move-fully-finished-ID502631628.html,"EGP 10,070,000","Sodic East, New Heliopolis•",3,2,160 SQM
Penthouse for sale at Ivy residence island maadi view Elshorouk delivery after 6 months,https://www.dubizzle.com.eg/en/ad/penthouse-for-sale-at-ivy-residence-island-maadi-view-elshorouk-delivery-after-6-months-ID501885691.html,"EGP 8,736,000","Maadi View, Shorouk City•",5,4,260 SQM
Studio 50m for Sale In Madinaty  (B11),https://www.dubizzle.com.eg/en/ad/studio-50m-for-sale-in-madinaty-b11-ID502440245.html,"EGP 3,250,000","Madinaty, Cairo•",1,1,50 SQM
"3-bedroom apartment in Maadi View Compound, north-facing with an open view – Down payment: EGP 729,000 and installments over 7 years.",https://www.dubizzle.com.eg/en/ad/3-bedroom-apartment-in-maadi-view-compound-north-facing-with-an-open-view-down-payment-egp-729000-and-installments-over-7-years-ID502608597.html,"EGP 7,290,000","Maadi View, Shorouk City•",3,2,149 SQM
"Apartment for sale for only 5 million and 200 thousand in the Andalusia area, fully finished",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-for-only-5-million-and-200-thousand-in-the-andalusia-area-fully-finished-ID502600103.html,"EGP 5,200,000","Al Andalous, New Cairo•",3,3,198 SQM
"140 sqm apartment in Stone Residence – Fully finished, ready to move with 5 years of installaments",https://www.dubizzle.com.eg/en/ad/140-sqm-apartment-in-stone-residence-fully-finished-ready-to-move-with-5-years-of-installaments-ID502594028.html,"EGP 9,240,000","Stone Residence Compound, Katameya•",2,2,140 SQM
Luxury Prime Corner Appartement,https://www.dubizzle.com.eg/en/ad/luxury-prime-corner-appartement-ID206030589.html,"EGP 8,000,000","El Lotus, 5th Settlement•",3,2,167 SQM
شقة للبيع كمباوند كريك تاون التجمع الخامس,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%83%D9%85%D8%A8%D8%A7%D9%88%D9%86%D8%AF-%D9%83%D8%B1%D9%8A%D9%83-%D8%AA%D8%A7%D9%88%D9%86-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-ID206003917.html,"EGP 5,500,000","Creek Town Compound, 5th Settlement•",3,3,170 SQM
"Apartment for sale Ready to move with 50% discount Over 10 years directly front of Embassy District, at lowest price per meter in R7.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-ready-to-move-with-50-discount-over-10-years-directly-front-of-embassy-district-at-lowest-price-per-meter-in-r7-ID502615500.html,"EGP 4,000,000","OIA, New Capital City•",3,3,154 SQM
Ground Apartment 2 bedroom fully finished with Ac. s  ready to move less than market price  very prime location in Fifth Square Compound New cairo,https://www.dubizzle.com.eg/en/ad/ground-apartment-2-bedroom-fully-finished-with-ac-s-ready-to-move-less-than-market-price-very-prime-location-in-fifth-square-compound-new-cairo-ID502610777.html,"EGP 8,300,000","Fifth Square Compound, 5th Settlement•",2,2,120 SQM
Apartment for sale rady to move in mountain view new Cairo ,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-rady-to-move-in-mountain-view-new-cairo-ID502588174.html,"EGP 10,400,000","Mountain View iCity Compound, 5th Settlement•",3,2,160 SQM
"Ready to Move | 250 sqm Duplex | 3 BR | New Cairo – AUC, South Teseen",https://www.dubizzle.com.eg/en/ad/ready-to-move-250-sqm-duplex-3-br-new-cairo-auc-south-teseen-ID502583993.html,"EGP 15,000,000","Sephora Heights, 5th Settlement•",3,2,250 SQM
Apartment for sale 169m corner panoramic on Garden in Al-Andalus Fifth Settlement down payment 60% facilities over a year and a half without interest and special discount on cash,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-169m-corner-panoramic-on-garden-in-al-andalus-fifth-settlement-down-payment-60-facilities-over-a-year-and-a-half-without-interest-and-special-discount-on-cash-ID502563210.html,"EGP 4,200,000","Al Andalous, 5th Settlement•",3,3,169 SQM
"Opportunity for housing or investment in Madinaty, a 79m apartment in B14, the latest phase with a down payment, facilities, and a special deal at a very distinctive floor.",https://www.dubizzle.com.eg/en/ad/opportunity-for-housing-or-investment-in-madinaty-a-79m-apartment-in-b14-the-latest-phase-with-a-down-payment-facilities-and-a-special-deal-at-a-very-distinctive-floor-ID502606737.html,"EGP 6,900,000","Madinaty, Cairo•",2,1,79 SQM
*FOR SALE – 107 m² Apartment in Madinaty – First Use – Prime Location Facing Craft Zone*   *B12 – Steps from all services – Ideal for Living or Investment*  *Specifications:* - *Area:* 107 m²   - *Layout:*     - 3 Bedrooms     - 2 Bathrooms     - Recepti,https://www.dubizzle.com.eg/en/ad/for-sale-107-m2-apartment-in-madinaty-first-use-prime-location-facing-craft-zone-b12-steps-from-all-services-ideal-for-living-or-investment-specifications-area-107-m2-layout-3-bedrooms-2-bathrooms-recepti-ID502637456.html,"EGP 5,200,000","Madinaty, Cairo•",3,2,107 SQM
For sale cash or mortgage financing apartment 160m Zahraa El Maadi,https://www.dubizzle.com.eg/en/ad/for-sale-cash-or-mortgage-financing-apartment-160m-zahraa-el-maadi-ID502639106.html,"EGP 4,150,000","Zahraa Al Maadi, Cairo•",3,2,160 SQM
"Apartment in the second neighborhood next to the first, behind the Russian University and next to Al-Zaeem Hotel and the service area",https://www.dubizzle.com.eg/en/ad/apartment-in-the-second-neighborhood-next-to-the-first-behind-the-russian-university-and-next-to-al-zaeem-hotel-and-the-service-area-ID502641162.html,"EGP 1,400,000","Badr City, Cairo•",3,1,135 SQM
Delivered apartment fully finished in address east,https://www.dubizzle.com.eg/en/ad/delivered-apartment-fully-finished-in-address-east-ID502265316.html,"EGP 7,000,000","The Address East Compound, 5th Settlement•",3,2,145 SQM
Apartment at Highland park with prime location,https://www.dubizzle.com.eg/en/ad/apartment-at-highland-park-with-prime-location-ID502452814.html,"EGP 8,400,000","Highland Park Compound, 5th Settlement•",3,3,245 SQM
Apartment with garden for sale in the square new cairo ready to move fully finished prime location,https://www.dubizzle.com.eg/en/ad/apartment-with-garden-for-sale-in-the-square-new-cairo-ready-to-move-fully-finished-prime-location-ID502641619.html,"EGP 10,900,000","The Square Compound, 5th Settlement•",3,3,205 SQM
Ready to move | Apartment 142m in Lake View with lowest price,https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-142m-in-lake-view-with-lowest-price-ID502055359.html,"EGP 9,950,000","Lake view Residence Compound, 5th Settlement•",2,3,142 SQM
"Super deluxe finished apartment in Narges Buildings, Fifth Settlement",https://www.dubizzle.com.eg/en/ad/super-deluxe-finished-apartment-in-narges-buildings-fifth-settlement-ID502639586.html,"EGP 7,200,000","Al Narges, 5th Settlement•",3,3,250 SQM
"Apartment for sale, immediate delivery, fully finished, in the General Security Compound. The price is negotiable.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-immediate-delivery-fully-finished-in-the-general-security-compound-the-price-is-negotiable-ID502630539.html,"EGP 7,400,000","5th Settlement, New Cairo•",3,3,180 SQM
Fully finished flat apartment with Acs open view,https://www.dubizzle.com.eg/en/ad/fully-finished-flat-apartment-with-acs-open-view-ID502613357.html,"EGP 20,000,000","Eastown Compound, 5th Settlement•",3,3,278 SQM
Your opportunity for upscale living! A 160m apartment for sale in Lavinier Compound – the heart of Future City | Prime location – open view – delivery in semi-finishing – integrated services,https://www.dubizzle.com.eg/en/ad/your-opportunity-for-upscale-living-a-160m-apartment-for-sale-in-lavinier-compound-the-heart-of-future-city-prime-location-open-view-delivery-in-semi-finishing-integrated-services-ID502605107.html,"EGP 4,200,000","L’Avenir, Mostakbal City•",3,3,160 SQM
"Ready-to-move-in apartment in Sodic Villette, in the heart of Golden Square, next to Hyde Park compound.",https://www.dubizzle.com.eg/en/ad/ready-to-move-in-apartment-in-sodic-villette-in-the-heart-of-golden-square-next-to-hyde-park-compound-ID502632908.html,"EGP 10,000,000","Villette Compound, 5th Settlement•",3,2,212 SQM
Apartment 4 bedrooms with pool view - ready to move for resale - Stone Residence - New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-4-bedrooms-with-pool-view-ready-to-move-for-resale-stone-residence-new-cairo-ID502500113.html,"EGP 7,000,000","Stone Residence Compound, Katameya•",3,3,220 SQM
Fully finished Penthouse in TRIO GARDENS M square,https://www.dubizzle.com.eg/en/ad/fully-finished-penthouse-in-trio-gardens-m-square-ID502233900.html,"EGP 8,000,000","Trio Gardens Compound, 5th Settlement•",2,3,170 SQM
Ready-to-Move 3-Bedroom Apartment with Garden – 40% OFF – Galleria Moon Valley | Golden Square,https://www.dubizzle.com.eg/en/ad/ready-to-move-3-bedroom-apartment-with-garden-40-off-galleria-moon-valley-golden-square-ID502445377.html,"EGP 10,000,000","Galleria Moon Valley Compound, 5th Settlement•",3,3,157 SQM
"Apartment in the second neighborhood next to the first, behind the Russian University and next to Al-Zaeem Hotel and the service area",https://www.dubizzle.com.eg/en/ad/apartment-in-the-second-neighborhood-next-to-the-first-behind-the-russian-university-and-next-to-al-zaeem-hotel-and-the-service-area-ID502641162.html,"EGP 1,400,000","Badr City, Cairo•",3,1,135 SQM
"Fully Finished Apartment For Sale In Sodic Eastown Compound ,Prime View",https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-for-sale-in-sodic-eastown-compound-prime-view-ID502647063.html,"EGP 15,150,000","Eastown Compound, 5th Settlement•",3,4,210 SQM
"Apartment for sale in Zahraa Maadi, 50th Street, steps from Mall Hub50 and 3 minutes from Wadi Degla Club",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-zahraa-maadi-50th-street-steps-from-mall-hub50-and-3-minutes-from-wadi-degla-club-ID502635076.html,"EGP 3,500,000","Zahraa Al Maadi, Cairo•",3,2,175 SQM
"Apartment 80m for sale ready for immediate delivery with a discount of 724,000 fully finished with ACs and kitchen cabinets next to City",https://www.dubizzle.com.eg/en/ad/apartment-80m-for-sale-ready-for-immediate-delivery-with-a-discount-of-724000-fully-finished-with-acs-and-kitchen-cabinets-next-to-city-ID502612450.html,"EGP 6,516,000","Aljar, Sheraton•",1,1,80 SQM
Villette Sky Condos | 3-Bedroom Apartment with Sky Terrace | Prime Location,https://www.dubizzle.com.eg/en/ad/villette-sky-condos-3-bedroom-apartment-with-sky-terrace-prime-location-ID502645790.html,"EGP 13,000,000","Villette Compound, 5th Settlement•",3,3,189 SQM
Luxury Ground Apartment-Private Garden– Galleria Golden Square,https://www.dubizzle.com.eg/en/ad/luxury-ground-apartment-private-garden-galleria-golden-square-ID206030924.html,"EGP 28,000,000","Galleria Moon Valley Compound, 5th Settlement•",3,3,195 SQM
"Apartment for sale in the distinguished area 5, Badr City",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-the-distinguished-area-5-badr-city-ID502602710.html,"EGP 1,150,000","Badr City, Cairo•",3,1,135 SQM
Apartment for sale in Sarai Compound with a 50% discount and installments up to 12 years.,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-sarai-compound-with-a-50-discount-and-installments-up-to-12-years-ID502506083.html,"EGP 8,000,000","Sarai, Mostakbal City•",3,3,155 SQM
Triplex with 78m² Roof for Sale | Eastown Residence New Cairo,https://www.dubizzle.com.eg/en/ad/triplex-with-78m2-roof-for-sale-eastown-residence-new-cairo-ID502632987.html,"EGP 25,500,000","Eastown Compound, 5th Settlement•",3,4,317 SQM
"Apartment of 170 square meters, 3 rooms, for sale with no down payment and installments over 7 years in La Vista Patio Sola Compound in El Shorouk",https://www.dubizzle.com.eg/en/ad/apartment-of-170-square-meters-3-rooms-for-sale-with-no-down-payment-and-installments-over-7-years-in-la-vista-patio-sola-compound-in-el-shorouk-ID501630466.html,"EGP 8,500,000","El Patio Sola, Shorouk City•",3,3,170 SQM
Fully Finished Apartment overlooking central park,https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-overlooking-central-park-ID502600184.html,"EGP 31,000,000","Mivida Compound, 5th Settlement•",3,3,244 SQM
Apartment in Capital gardens palm hills Mostakbal,https://www.dubizzle.com.eg/en/ad/apartment-in-capital-gardens-palm-hills-mostakbal-ID500671622.html,"EGP 7,284,000","Capital Gardens, Mostakbal City•",2,3,162 SQM
Apartment 140m 3 bedrooms Ready to move in Stone Residence New cairo,https://www.dubizzle.com.eg/en/ad/apartment-140m-3-bedrooms-ready-to-move-in-stone-residence-new-cairo-ID502588398.html,"EGP 5,520,000","Stone Residence Compound, Katameya•",3,3,140 SQM
"View and receive a fully finished apartment in Fustat Compound, directly opposite Salah Salem.",https://www.dubizzle.com.eg/en/ad/view-and-receive-a-fully-finished-apartment-in-fustat-compound-directly-opposite-salah-salem-ID502609339.html,"EGP 16,500,000","The Waterway Compound, 5th Settlement•",3,3,171 SQM
"Duplex with a distinctive view for sale in the First Settlement, Tag City, opposite the airport, with installments over 12 years",https://www.dubizzle.com.eg/en/ad/duplex-with-a-distinctive-view-for-sale-in-the-first-settlement-tag-city-opposite-the-airport-with-installments-over-12-years-ID502602683.html,"EGP 7,500,000","Taj City Compound, 1st Settlement•",3,2,162 SQM
